Employee Code,Student Name,Block,Floor,Room No.,Last Punch,Punch Records,Status
183,STUDENT77,HD2,ThirdFloor,307,,,Not Present
184,STUDENT78,HD2,SecondFloor,204,,,Not Present
186,STUDENT79,HC,SecondFloor,213,,,Not Present
187,STUDENT80,HC,ThirdFloor,306,,,Not Present
188,STUDENT81,HC,ThirdFloor,302,,,Not Present
190,STUDENT82,HD2,FifthFloor,503,,,Not Present
191,STUDENT83,HC,ThirdFloor,307,,,Not Present
192,STUDENT84,HD2,FourthFloor,407,,,Not Present
193,STUDENT85,HD2,FourthFloor,411,,,Not Present
194,STUDENT86,HD2,FifthFloor,504,,,Not Present
195,STUDENT87,HD2,ThirdFloor,301,,,Not Present
196,STUDENT88,HB,SecondFloor,206,,,Not Present
198,STUDENT89,HD2,FourthFloor,402,,,Not Present
199,STUDENT90,HD2,FifthFloor,504,,,Not Present
200,STUDENT91,HC,ThirdFloor,307,,,Not Present
201,STUDENT92,HD2,ThirdFloor,304,,,Not Present
202,STUDENT93,HC,ThirdFloor,305,,,Not Present
203,STUDENT94,HC,ThirdFloor,308,,,Not Present
204,STUDENT95,HC,GSSS-HOSTELS,311,,,Not Present
205,STUDENT96,HD2,FourthFloor,408,,,Not Present
206,STUDENT97,HD2,FourthFloor,402,19:55:49,"19:55:49,",Present
207,STUDENT98,HC,ThirdFloor,312,,,Not Present
208,STUDENT99,HD2,FourthFloor,401,,,Not Present
207,STUDENT100,HD1,FirstFloor,401,,,Not Present
